"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17","Trait Index 18","Trait Index 19","Trait Index 20","Trait Index 21","Trait Index 22","Trait Index 23","Trait Index 24","Trait Index 25","Trait Index 26","Trait Index 27","Trait Index 28","Trait Index 29","Trait Index 30","Trait Index 31","Trait Index 32","Trait Index 33","Trait Index 34","Trait Index 35"
    1,      0,      10000,          0,      10000,   1.000000,       1696,          0,       1683,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1712,          0,       1642,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1600,          0,       1667,          0,          0,          0,          0,          0,          0,          0,          0,          0
    1,      1,      10000,       8082,       1918,   1.000000,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,        223,         74,        131,         17,       1453,        525,        953,          0,          0,          0,          0,          3,        395,        174,        267,         34,       2880,       1088,       1780
    1,      2,      10800,       6814,       3986,   1.080000,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        145,          0,        145,          0,        709,          0,        663,          0,          0,          0,          0,        160,        449,        362,        220,       1086,       3131,       2378,       1352
    1,      3,      12021,       8459,       3562,   1.113056,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        191,          0,        223,          0,       1034,          0,       1021,          0,          0,          0,          0,        156,        555,        301,        349,       1225,       3260,       1880,       1826
    1,      4,      13763,       9892,       3871,   1.144913,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        278,          0,        274,          0,       1287,          0,       1302,          0,          0,          0,          0,        190,        668,        331,        476,       1438,       3464,       1912,       2143
    1,      5,      16332,      11077,       5255,   1.186660,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        388,          0,        355,          0,       1569,          0,       1653,          0,          0,          0,          0,        347,        731,        441,        574,       2223,       3307,       2244,       2500
    1,      6,      17420,      11816,       5604,   1.066618,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        402,          0,        352,          0,       1461,          0,       1484,          0,          0,          0,          0,        342,        975,        536,        678,       1977,       3835,       2749,       2629
    1,      7,      19500,      12522,       6978,   1.119403,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        534,          0,        464,          0,       1700,          0,       1757,          0,          0,          0,          0,        579,       1017,        693,        715,       2668,       3618,       3038,       2717
    1,      8,      18901,      12823,       6078,   0.969282,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        418,          0,        417,          0,       1349,          0,       1378,          0,          0,          0,          0,        466,       1324,        778,        772,       1763,       4444,       3071,       2721
    1,      9,      21266,      13298,       7968,   1.125126,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        584,          0,        595,          0,       1788,          0,       1876,          0,          0,          0,          0,        856,       1176,        841,        903,       2949,       3730,       3322,       2646
    1,     10,      21620,      13626,       7994,   1.016646,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        609,          0,        593,          0,       1534,          0,       1645,          0,          0,          0,          0,        811,       1344,       1023,       1004,       2604,       4118,       3556,       2779
    1,     11,      23013,      14017,       8996,   1.064431,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        657,          0,        686,          0,       1786,          0,       1778,          0,          0,          0,          0,        961,       1424,       1162,       1101,       3067,       3813,       3806,       2772
    1,     12,      22083,      14175,       7908,   0.959588,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        591,          0,        593,          0,       1490,          0,       1490,          0,          0,          0,          0,        741,       1734,       1278,       1094,       2176,       4513,       3713,       2670
    1,     13,      21853,      14273,       7580,   0.989585,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        617,          0,        635,          0,       1524,          0,       1538,          0,          0,          0,          0,        834,       1771,       1266,       1061,       2105,       4573,       3375,       2554
    1,     14,      21177,      14368,       6809,   0.969066,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        576,          0,        606,          0,       1429,          0,       1426,          0,          0,          0,          0,        791,       1899,       1248,       1060,       1788,       4788,       2982,       2584
    1,     15,      20968,      14431,       6537,   0.990131,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        558,          0,        595,          0,       1433,          0,       1433,          0,          0,          0,          0,        746,       1956,       1167,       1084,       1724,       4898,       2900,       2474
    1,     16,      21813,      14454,       7359,   1.040300,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        667,          0,        704,          0,       1595,          0,       1551,          0,          0,          0,          0,       1011,       1773,       1237,       1078,       2236,       4602,       2875,       2484
