"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17","Trait Index 18","Trait Index 19","Trait Index 20","Trait Index 21","Trait Index 22","Trait Index 23","Trait Index 24","Trait Index 25","Trait Index 26","Trait Index 27","Trait Index 28","Trait Index 29","Trait Index 30","Trait Index 31","Trait Index 32","Trait Index 33","Trait Index 34","Trait Index 35"
    1,      0,      10000,          0,      10000,   1.000000,       1696,          0,       1683,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1712,          0,       1642,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1600,          0,       1667,          0,          0,          0,          0,          0,          0,          0,          0,          0
    1,      1,      10800,       5083,       5717,   1.080000,          0,          0,          0,          0,          0,        145,          0,        145,          0,        709,          0,        663,          0,          0,          0,          0,          3,        223,         61,        131,         16,       1453,        380,        953,          0,          0,          0,          0,          1,        382,        141,        249,         31,       2717,        769,       1628
    1,      2,      12021,       6672,       5349,   1.113056,          0,          0,          0,          0,          0,        191,          0,        223,          0,       1034,          0,       1021,          0,          0,          0,          0,          0,        145,          0,        145,          0,        709,          0,        663,          0,          0,          0,          0,        123,        443,        293,        212,        720,       3056,       1717,       1326
    1,      3,      13763,       8347,       5416,   1.144913,          0,          0,          0,          0,          0,        278,          0,        274,          0,       1287,          0,       1302,          0,          0,          0,          0,          0,        191,          0,        223,          0,       1034,          0,       1021,          0,          0,          0,          0,        122,        545,        236,        348,        702,       3166,       1256,       1778
    1,      4,      16332,      10041,       6291,   1.186660,          0,          0,          0,          0,          0,        388,          0,        355,          0,       1569,          0,       1653,          0,          0,          0,          0,          0,        278,          0,        274,          0,       1287,          0,       1302,          0,          0,          0,          0,        144,        656,        266,        475,        852,       3391,       1338,       2104
    1,      5,      17420,      10215,       7205,   1.066618,          0,          0,          0,          0,          0,        402,          0,        352,          0,       1461,          0,       1484,          0,          0,          0,          0,          0,        388,          0,        355,          0,       1569,          0,       1653,          0,          0,          0,          0,        227,        702,        302,        557,       1100,       3143,       1322,       2403
    1,      6,      19500,      11456,       8044,   1.119403,          0,          0,          0,          0,          0,        534,          0,        464,          0,       1700,          0,       1757,          0,          0,          0,          0,          0,        402,          0,        352,          0,       1461,          0,       1484,          0,          0,          0,          0,        240,        954,        391,        665,       1111,       3714,       1733,       2538
    1,      7,      18901,      10760,       8141,   0.969282,          0,          0,          0,          0,          0,        418,          0,        417,          0,       1349,          0,       1378,          0,          0,          0,          0,          0,        534,          0,        464,          0,       1700,          0,       1757,          0,          0,          0,          0,        295,        961,        405,        681,       1127,       3380,       1502,       2533
    1,      8,      21266,      12474,       8792,   1.125126,          0,          0,          0,          0,          0,        584,          0,        595,          0,       1788,          0,       1876,          0,          0,          0,          0,          0,        418,          0,        417,          0,       1349,          0,       1378,          0,          0,          0,          0,        307,       1307,        564,        763,       1000,       4330,       1985,       2605
    1,      9,      21620,      12087,       9533,   1.016646,          0,          0,          0,          0,          0,        609,          0,        593,          0,       1534,          0,       1645,          0,          0,          0,          0,          0,        584,          0,        595,          0,       1788,          0,       1876,          0,          0,          0,          0,        441,       1130,        557,        875,       1411,       3523,       1977,       2482
    1,     10,      23013,      12844,      10169,   1.064431,          0,          0,          0,          0,          0,        657,          0,        686,          0,       1786,          0,       1778,          0,          0,          0,          0,          0,        609,          0,        593,          0,       1534,          0,       1645,          0,          0,          0,          0,        482,       1294,        702,        968,       1370,       3976,       2266,       2667
    1,     11,      22083,      12050,      10033,   0.959588,          0,          0,          0,          0,          0,        591,          0,        593,          0,       1490,          0,       1490,          0,          0,          0,          0,          0,        657,          0,        686,          0,       1786,          0,       1778,          0,          0,          0,          0,        472,       1346,        653,       1033,       1353,       3550,       2043,       2562
    1,     12,      21853,      12337,       9516,   0.989585,          0,          0,          0,          0,          0,        617,          0,        635,          0,       1524,          0,       1538,          0,          0,          0,          0,          0,        591,          0,        593,          0,       1490,          0,       1490,          0,          0,          0,          0,        363,       1651,        712,       1022,        938,       4250,       1971,       2468
