"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5"
    1,      0,      10000,          0,      10000,   1.000000,      10000,          0,          0,          0,          0,          0
    1,      1,      10800,       5083,       5717,   1.080000,          0,          0,        206,       1275,       1196,       8123
    1,      2,      12021,       6672,       5349,   1.113056,          0,          0,        416,       1359,       2437,       7809
    1,      3,      13763,       8347,       5416,   1.144913,          0,          0,        358,       1859,       1958,       9588
    1,      4,      16332,      10041,       6291,   1.186660,          0,          0,        410,       2426,       2190,      11306
    1,      5,      17420,      10215,       7205,   1.066618,          0,          0,        529,       2756,       2422,      11713
    1,      6,      19500,      11456,       8044,   1.119403,          0,          0,        631,       3371,       2844,      12654
    1,      7,      18901,      10760,       8141,   0.969282,          0,          0,        700,       3475,       2629,      12097
    1,      8,      21266,      12474,       8792,   1.125126,          0,          0,        871,       4084,       2985,      13326
    1,      9,      21620,      12087,       9533,   1.016646,          0,          0,        998,       4386,       3388,      12848
    1,     10,      23013,      12844,      10169,   1.064431,          0,          0,       1184,       4807,       3636,      13386
    1,     11,      22083,      12050,      10033,   0.959588,          0,          0,       1125,       4906,       3396,      12656
    1,     12,      21853,      12337,       9516,   0.989585,          0,          0,       1075,       5109,       2909,      12760
    1,     13,      21177,      12082,       9095,   0.969066,          0,          0,       1062,       5118,       2479,      12518
    1,     14,      20968,      12048,       8920,   0.990131,          0,          0,        991,       5115,       2295,      12567
    1,     15,      21813,      12740,       9073,   1.040300,          0,          0,       1051,       5419,       2430,      12913
    1,     16,      22082,      12609,       9473,   1.012332,          0,          0,       1172,       5433,       2666,      12811
    1,     17,      22241,      12666,       9575,   1.007200,          0,          0,       1228,       5416,       2677,      12920
    1,     18,      24174,      13730,      10444,   1.086912,          0,          0,       1470,       5765,       3292,      13647
    1,     19,      24453,      13259,      11194,   1.011541,          0,          0,       1668,       5692,       3768,      13325
    1,     20,      24573,      13278,      11295,   1.004907,          0,          0,       1745,       5678,       3854,      13296
    1,     21,      24162,      13060,      11102,   0.983274,          0,          0,       1646,       5644,       3656,      13216
    1,     22,      23125,      12622,      10503,   0.957081,          0,          0,       1429,       5535,       3303,      12858
    1,     23,      23754,      13208,      10546,   1.027200,          0,          0,       1426,       5730,       3275,      13323
    1,     24,      23092,      12705,      10387,   0.972131,          0,          0,       1436,       5536,       3175,      12945
    1,     25,      22850,      12822,      10028,   0.989520,          0,          0,       1283,       5596,       2905,      13066
    1,     26,      23608,      13350,      10258,   1.033173,          0,          0,       1326,       5734,       3111,      13437
    1,     27,      22913,      12774,      10139,   0.970561,          0,          0,       1340,       5607,       3030,      12936
    1,     28,      21673,      12252,       9421,   0.945882,          0,          0,       1135,       5416,       2550,      12572
    1,     29,      21331,      12387,       8944,   0.984220,          0,          0,       1014,       5475,       2247,      12595
    1,     30,      23872,      14008,       9864,   1.119122,          0,          0,       1234,       5981,       2871,      13786
