"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5"
    2,      0,      10000,          0,      10000,   1.000000,      10000,          0,          0,          0,          0,          0
    2,      1,       7943,       5342,       2601,   0.794300,          0,          0,        146,        814,        842,       6141
    2,      2,       7498,       5840,       1658,   0.943976,          0,          0,        114,        678,       1111,       5595
    2,      3,       7270,       6052,       1218,   0.969592,          0,          0,         47,        648,        703,       5872
    2,      4,       7100,       6025,       1075,   0.976616,          0,          0,         33,        563,        539,       5965
    2,      5,       7020,       6020,       1000,   0.988732,          0,          0,         15,        536,        478,       5991
    2,      6,       7546,       6434,       1112,   1.074929,          0,          0,         15,        578,        474,       6479
    2,      7,       7396,       6250,       1146,   0.980122,          0,          0,         11,        539,        501,       6345
    2,      8,       7874,       6717,       1157,   1.064630,          0,          0,         15,        559,        509,       6791
    2,      9,       7745,       6621,       1124,   0.983617,          0,          0,         13,        530,        523,       6679
    2,     10,       7560,       6456,       1104,   0.976114,          0,          0,          7,        534,        463,       6556
    2,     11,       7672,       6648,       1024,   1.014815,          0,          0,         11,        481,        449,       6731
    2,     12,       8025,       6836,       1189,   1.046011,          0,          0,          3,        504,        538,       6980
    2,     13,       7825,       6630,       1195,   0.975078,          0,          0,          1,        442,        549,       6833
    2,     14,       7680,       6558,       1122,   0.981470,          0,          0,          5,        437,        476,       6762
    2,     15,       7733,       6649,       1084,   1.006901,          0,          0,          4,        416,        461,       6852
    2,     16,       7749,       6696,       1053,   1.002069,          0,          0,          4,        413,        497,       6835
    2,     17,       7639,       6626,       1013,   0.985805,          0,          0,          4,        366,        417,       6852
    2,     18,       7799,       6737,       1062,   1.020945,          0,          0,          9,        331,        429,       7030
    2,     19,       7698,       6631,       1067,   0.987050,          0,          0,          5,        351,        468,       6874
    2,     20,       7694,       6699,        995,   0.999480,          0,          0,          7,        362,        410,       6915
    2,     21,       8327,       7183,       1144,   1.082272,          0,          0,          5,        377,        440,       7505
    2,     22,       8525,       7182,       1343,   1.023778,          0,          0,          8,        368,        599,       7550
    2,     23,       8298,       6979,       1319,   0.973372,          0,          0,          7,        317,        576,       7398
    2,     24,       8729,       7295,       1434,   1.051940,          0,          0,          4,        341,        613,       7771
    2,     25,       8431,       7020,       1411,   0.965861,          0,          0,          3,        290,        687,       7451
    2,     26,       8691,       7309,       1382,   1.030839,          0,          0,          2,        278,        621,       7790
    2,     27,       8283,       6970,       1313,   0.953055,          0,          0,          2,        252,        600,       7429
    2,     28,       8415,       7246,       1169,   1.015936,          0,          0,          5,        263,        500,       7647
    2,     29,       8358,       7162,       1196,   0.993226,          0,          0,          4,        243,        513,       7598
    2,     30,       8322,       7076,       1246,   0.995693,          0,          0,          2,        250,        541,       7529
