"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11"
    1,      0,      10000,          0,      10000,   1.000000,      10000,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    1,      1,       7970,       5304,       2666,   0.797000,       7952,         13,          0,          5,          0,          0,          0,          0,          0,          0,          0,          0
    1,      2,       7374,       5561,       1813,   0.925220,       7362,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    1,      3,       7538,       6335,       1203,   1.022240,       7522,          9,          0,          7,          0,          0,          0,          0,          0,          0,          0,          0
    1,      4,       7286,       6190,       1096,   0.966569,       7274,          6,          0,          6,          0,          0,          0,          0,          0,          0,          0,          0
    1,      5,       7237,       6285,        952,   0.993275,       7219,          9,          0,          9,          0,          0,          0,          0,          0,          0,          0,          0
    1,      6,       7178,       6248,        930,   0.991847,       7165,          4,          0,          9,          0,          0,          0,          0,          0,          0,          0,          0
    1,      7,       7127,       6167,        960,   0.992895,       7120,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    1,      8,       7079,       6182,        897,   0.993265,       7067,          5,          0,          0,          4,          0,          0,          0,          3,          0,          0,          0
    1,      9,       7271,       6384,        887,   1.027122,       7260,          9,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0
    1,     10,       7256,       6308,        948,   0.997937,       7245,          7,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0
    1,     11,       7337,       6396,        941,   1.011163,       7330,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    1,     12,       7443,       6464,        979,   1.014447,       7428,          4,          0,          1,          0,          0,          0,          0,         10,          0,          0,          0
    1,     13,       7582,       6556,       1026,   1.018675,       7579,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    1,     14,       8014,       6876,       1138,   1.056977,       7997,          2,          0,          0,          0,          0,          0,          0,         15,          0,          0,          0
    1,     15,       7921,       6771,       1150,   0.988395,       7897,         11,          0,          0,          0,          0,          0,          0,         13,          0,          0,          0
    1,     16,       7967,       6832,       1135,   1.005807,       7944,          9,          0,          0,          0,          0,          0,          0,         14,          0,          0,          0
    1,     17,       7990,       6806,       1184,   1.002887,       7956,         12,          0,          0,          0,          0,          8,          0,         14,          0,          0,          0
    1,     18,       7993,       6826,       1167,   1.000376,       7961,          5,          0,          0,          0,          0,         13,          0,         14,          0,          0,          0
    1,     19,       8523,       7122,       1401,   1.066308,       8484,          7,          0,          0,          0,          0,         16,          0,         16,          0,          0,          0
    1,     20,       8434,       7090,       1344,   0.989558,       8393,          5,          0,          0,          0,          0,         12,          0,         13,         11,          0,          0
    1,     21,       8624,       7283,       1341,   1.022528,       8601,          6,          0,          0,          0,          0,         16,          1,          0,          0,          0,          0
    1,     22,       9144,       7583,       1561,   1.060297,       9110,          8,          0,          0,          0,          0,          1,          0,         16,          0,          9,          0
    1,     23,       9121,       7479,       1642,   0.997485,       9056,          0,          0,          0,          0,          0,         15,          1,         30,         15,          3,          1
    1,     24,       9113,       7576,       1537,   0.999123,       9030,          0,          0,          0,          4,          0,         21,          0,         27,          1,         17,         13
    1,     25,       9107,       7715,       1392,   0.999342,       9029,          0,          0,          0,          8,          0,         22,          0,         13,         14,         21,          0
    1,     26,       9133,       7834,       1299,   1.002855,       9018,         11,          0,          0,          8,          0,         23,          1,         13,         33,         14,         12
    1,     27,       9084,       7746,       1338,   0.994635,       8989,          9,          0,          0,          9,          0,         26,          0,         13,         12,         26,          0
    1,     28,       9888,       8285,       1603,   1.088507,       9763,          0,          0,          0,         10,          0,         15,         13,         16,         27,         29,         15
    1,     29,       9829,       8069,       1760,   0.994033,       9726,          0,          0,          0,          5,          0,         13,          7,         16,         24,         15,         23
    1,     30,       9751,       8028,       1723,   0.992064,       9622,          7,          0,          0,          9,          0,         16,         13,         10,         28,         23,         23
