"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17","Trait Index 18","Trait Index 19","Trait Index 20","Trait Index 21","Trait Index 22","Trait Index 23","Trait Index 24","Trait Index 25","Trait Index 26","Trait Index 27","Trait Index 28","Trait Index 29","Trait Index 30","Trait Index 31","Trait Index 32","Trait Index 33","Trait Index 34","Trait Index 35"
    1,      0,      10000,          0,      10000,   1.000000,       1634,          0,       1673,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1666,          0,       1632,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1704,          0,       1691,          0,          0,          0,          0,          0,          0,          0,          0,          0
    1,      1,       7970,       5304,       2666,   0.797000,          0,          0,          0,          0,          0,        123,          0,        131,          0,        727,          0,        673,          0,          0,          0,          0,          4,        103,         32,         91,         13,        967,        289,        625,          0,          0,          0,          0,          2,        266,         98,        149,         27,       1929,        544,       1177
    1,      2,       7374,       5561,       1813,   0.925220,          0,          0,          0,          0,          0,        121,          0,         97,          0,        714,          0,        706,          0,          0,          0,          0,          0,         81,          0,         87,          0,        545,          0,        493,          0,          0,          0,          0,         30,        243,         96,        136,        342,       1848,        875,        960
    1,      3,       7538,       6335,       1203,   1.022240,          0,          0,          0,          0,          0,        128,          0,        147,          0,        987,          0,       1013,          0,          0,          0,          0,          0,         87,          0,         57,          0,        506,          0,        519,          0,          0,          0,          0,          6,        218,         61,        145,         64,       1984,        605,       1011
    1,      4,       7286,       6190,       1096,   0.966569,          0,          0,          0,          0,          0,        112,          0,        135,          0,        951,          0,        953,          0,          0,          0,          0,          0,         89,          0,         83,          0,        685,          0,        714,          0,          0,          0,          0,          1,        195,         25,        117,        143,       1643,        459,        981
    1,      5,       7237,       6285,        952,   0.993275,          0,          0,          0,          0,          0,        124,          0,        116,          0,        893,          0,        871,          0,          0,          0,          0,          0,         79,          0,         86,          0,        689,          0,        675,          0,          0,          0,          0,          1,        198,         16,        132,        103,       1713,        387,       1154
    1,      6,       7178,       6248,        930,   0.991847,          0,          0,          0,          0,          0,        121,          0,        116,          0,       1013,          0,        932,          0,          0,          0,          0,          0,         75,          0,         77,          0,        628,          0,        595,          0,          0,          0,          0,          1,        165,         14,        127,         69,       1747,        355,       1143
    1,      7,       7127,       6167,        960,   0.992895,          0,          0,          0,          0,          0,        102,          0,        118,          0,        827,          0,        847,          0,          0,          0,          0,          0,         92,          0,         76,          0,        760,          0,        697,          0,          0,          0,          0,          3,        161,          7,        136,        114,       1673,        325,       1189
    1,      8,       7079,       6182,        897,   0.993265,          0,          0,          0,          0,          0,        103,          0,        106,          0,        805,          0,        850,          0,          0,          0,          0,          0,         71,          0,         66,          0,        591,          0,        626,          0,          0,          0,          0,          3,        175,         12,        139,         62,       1856,        312,       1302
    1,      9,       7271,       6384,        887,   1.027122,          0,          0,          0,          0,          0,        122,          0,        103,          0,        933,          0,        908,          0,          0,          0,          0,          0,         73,          0,         80,          0,        590,          0,        617,          0,          0,          0,          0,          2,        174,         14,        128,         69,       1781,        338,       1339
