"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17","Trait Index 18","Trait Index 19","Trait Index 20","Trait Index 21","Trait Index 22","Trait Index 23","Trait Index 24","Trait Index 25","Trait Index 26","Trait Index 27","Trait Index 28","Trait Index 29","Trait Index 30","Trait Index 31","Trait Index 32","Trait Index 33","Trait Index 34","Trait Index 35"
    1,      0,      10000,          0,      10000,   1.000000,       1634,          0,       1673,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1666,          0,       1632,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1704,          0,       1691,          0,          0,          0,          0,          0,          0,          0,          0,          0
    1,      1,       8767,       7038,       1729,   0.876700,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,        158,         56,        122,         21,       1260,        481,        811,          0,          0,          0,          0,          3,        403,        155,        221,         41,       2499,        968,       1564
    1,      2,       7318,       5449,       1869,   0.834721,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        115,          0,        121,          0,        658,          0,        622,          0,          0,          0,          0,         36,        315,        150,        187,        457,       2244,       1226,       1187
    1,      3,       6647,       5632,       1015,   0.908308,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        110,          0,         87,          0,        640,          0,        634,          0,          0,          0,          0,          9,        307,         87,        198,         88,       2395,        831,       1261
    1,      4,       6654,       5787,        867,   1.001053,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        115,          0,        121,          0,        869,          0,        899,          0,          0,          0,          0,          1,        279,         47,        178,        178,       2085,        641,       1241
    1,      5,       6604,       5891,        713,   0.992486,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        105,          0,        125,          0,        848,          0,        853,          0,          0,          0,          0,          1,        259,         24,        176,        147,       2095,        541,       1430
    1,      6,       6477,       5871,        606,   0.980769,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        107,          0,        108,          0,        803,          0,        771,          0,          0,          0,          0,          1,        242,         19,        189,         82,       2165,        504,       1486
    1,      7,       6537,       5878,        659,   1.009264,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        114,          0,         98,          0,        922,          0,        832,          0,          0,          0,          0,          3,        209,         10,        183,        171,       2072,        475,       1448
    1,      8,       6478,       5935,        543,   0.990974,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         94,          0,        104,          0,        746,          0,        763,          0,          0,          0,          0,          4,        231,         14,        184,         89,       2243,        436,       1570
    1,      9,       6438,       5884,        554,   0.993825,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,         94,          0,        724,          0,        774,          0,          0,          0,          0,          2,        221,         19,        180,         89,       2184,        444,       1607
    1,     10,       6446,       5860,        586,   1.001243,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        111,          0,         84,          0,        838,          0,        785,          0,          0,          0,          0,          1,        216,         15,        179,        110,       2070,        460,       1577
    1,     11,       6615,       5976,        639,   1.026218,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         93,          0,         98,          0,        931,          0,        917,          0,          0,          0,          0,          2,        199,         15,        172,        187,       2015,        435,       1551
    1,     12,       6572,       5988,        584,   0.993500,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         93,          0,         84,          0,        857,          0,        820,          0,          0,          0,          0,          3,        190,         17,        172,        107,       2160,        457,       1612
    1,     13,       6805,       6124,        681,   1.035453,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        117,          0,         91,          0,        938,          0,        904,          0,          0,          0,          0,          4,        182,         13,        164,        206,       2147,        458,       1581
    1,     14,       6890,       6243,        647,   1.012491,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         81,          0,         98,          0,        885,          0,        832,          0,          0,          0,          0,          5,        205,         14,        175,        138,       2288,        490,       1679
    1,     15,       7136,       6347,        789,   1.035704,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        130,          0,        100,          0,        937,          0,       1004,          0,          0,          0,          0,          9,        185,         21,        161,        232,       2195,        527,       1635
    1,     16,       7138,       6364,        774,   1.000280,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         97,          0,         96,          0,        951,          0,        952,          0,          0,          0,          0,         10,        191,         22,        163,        200,       2220,        541,       1694
    1,     17,       7111,       6322,        789,   0.996217,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        101,          0,        110,          0,        944,          0,        961,          0,          0,          0,          0,          6,        191,         29,        151,        208,       2194,        546,       1670
    1,     18,       7145,       6318,        827,   1.004781,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        116,          0,        122,          0,        955,          0,        967,          0,          0,          0,          0,         16,        191,         48,        160,        200,       2174,        563,       1633
    1,     19,       7322,       6471,        851,   1.024773,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        112,          0,        117,          0,       1023,          0,        933,          0,          0,          0,          0,         24,        215,         58,        183,        220,       2212,        549,       1676
    1,     20,       7738,       6721,       1017,   1.056815,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        145,          0,        118,          0,        990,          0,       1074,          0,          0,          0,          0,         39,        227,         64,        191,        334,       2261,        580,       1715
    1,     21,       7598,       6773,        825,   0.981907,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        120,          0,        103,          0,        871,          0,        900,          0,          0,          0,          0,         18,        291,         59,        225,        171,       2434,        577,       1829
