"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17","Trait Index 18","Trait Index 19","Trait Index 20","Trait Index 21","Trait Index 22","Trait Index 23","Trait Index 24","Trait Index 25","Trait Index 26","Trait Index 27","Trait Index 28","Trait Index 29","Trait Index 30","Trait Index 31","Trait Index 32","Trait Index 33","Trait Index 34","Trait Index 35"
    2,      0,      10000,          0,      10000,   1.000000,       1682,          0,       1705,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1638,          0,       1586,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1702,          0,       1687,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,      1,       9629,       4477,       5152,   0.962900,          0,          0,          0,          0,          0,        127,          0,        103,          0,        473,          0,        465,          0,          0,          0,          0,          6,        234,         61,        141,         18,       1420,        390,        894,          0,          0,          0,          0,          4,        390,         86,        244,         42,       2410,        693,       1428
    2,      2,      11865,       7139,       4726,   1.232215,          0,          0,          0,          0,          0,        270,          0,        254,          0,       1156,          0,       1218,          0,          0,          0,          0,          0,        127,          0,        103,          0,        473,          0,        465,          0,          0,          0,          0,        101,        515,        226,        262,        463,       3246,       1745,       1241
    2,      3,      14218,       8602,       5616,   1.198314,          0,          0,          0,          0,          0,        338,          0,        322,          0,       1404,          0,       1417,          0,          0,          0,          0,          0,        270,          0,        254,          0,       1156,          0,       1218,          0,          0,          0,          0,        130,        566,        193,        353,        893,       2776,       1368,       1560
    2,      4,      16836,      10173,       6663,   1.184133,          0,          0,          0,          0,          0,        397,          0,        459,          0,       1586,          0,       1618,          0,          0,          0,          0,          0,        338,          0,        322,          0,       1404,          0,       1417,          0,          0,          0,          0,        194,        684,        236,        507,       1112,       3015,       1341,       2206
    2,      5,      18637,      10994,       7643,   1.106973,          0,          0,          0,          0,          0,        479,          0,        479,          0,       1581,          0,       1622,          0,          0,          0,          0,          0,        397,          0,        459,          0,       1586,          0,       1618,          0,          0,          0,          0,        261,        780,        314,        628,       1214,       3192,       1497,       2530
    2,      6,      20570,      11829,       8741,   1.103718,          0,          0,          0,          0,          0,        533,          0,        533,          0,       1771,          0,       1790,          0,          0,          0,          0,          0,        479,          0,        479,          0,       1581,          0,       1622,          0,          0,          0,          0,        311,        936,        427,        774,       1298,       3550,       1845,       2641
    2,      7,      19532,      10937,       8595,   0.949538,          0,          0,          0,          0,          0,        483,          0,        458,          0,       1349,          0,       1381,          0,          0,          0,          0,          0,        533,          0,        533,          0,       1771,          0,       1790,          0,          0,          0,          0,        305,       1005,        427,        854,       1158,       3331,       1638,       2516
    2,      8,      21128,      12316,       8812,   1.081712,          0,          0,          0,          0,          0,        606,          0,        583,          0,       1692,          0,       1711,          0,          0,          0,          0,          0,        483,          0,        458,          0,       1349,          0,       1381,          0,          0,          0,          0,        251,       1380,        573,        887,        874,       4386,       1977,       2537
    2,      9,      21842,      12360,       9482,   1.033794,          0,          0,          0,          0,          0,        645,          0,        598,          0,       1646,          0,       1638,          0,          0,          0,          0,          0,        606,          0,        583,          0,       1692,          0,       1711,          0,          0,          0,          0,        403,       1307,        639,        874,       1210,       3870,       2020,       2400
    2,     10,      20734,      11687,       9047,   0.949272,          0,          0,          0,          0,          0,        523,          0,        531,          0,       1384,          0,       1398,          0,          0,          0,          0,          0,        645,          0,        598,          0,       1646,          0,       1638,          0,          0,          0,          0,        407,       1324,        561,        969,       1073,       3832,       1711,       2494
    2,     11,      21365,      12336,       9029,   1.030433,          0,          0,          0,          0,          0,        623,          0,        602,          0,       1557,          0,       1603,          0,          0,          0,          0,          0,        523,          0,        531,          0,       1384,          0,       1398,          0,          0,          0,          0,        314,       1624,        655,       1018,        834,       4432,       1787,       2480
    2,     12,      21751,      12457,       9294,   1.018067,          0,          0,          0,          0,          0,        631,          0,        674,          0,       1571,          0,       1546,          0,          0,          0,          0,          0,        623,          0,        602,          0,       1557,          0,       1603,          0,          0,          0,          0,        383,       1609,        695,       1000,       1014,       4169,       1701,       2373
    2,     13,      22780,      12990,       9790,   1.047308,          0,          0,          0,          0,          0,        711,          0,        698,          0,       1687,          0,       1677,          0,          0,          0,          0,          0,        631,          0,        674,          0,       1571,          0,       1546,          0,          0,          0,          0,        522,       1599,        757,       1025,       1122,       4236,       1898,       2426
    2,     14,      23599,      13182,      10417,   1.035953,          0,          0,          0,          0,          0,        728,          0,        714,          0,       1697,          0,       1698,          0,          0,          0,          0,          0,        711,          0,        698,          0,       1687,          0,       1677,          0,          0,          0,          0,        615,       1558,        821,       1098,       1382,       4035,       2042,       2438
    2,     15,      21764,      12010,       9754,   0.922242,          0,          0,          0,          0,          0,        561,          0,        620,          0,       1361,          0,       1355,          0,          0,          0,          0,          0,        728,          0,        714,          0,       1697,          0,       1698,          0,          0,          0,          0,        498,       1515,        705,       1106,       1179,       3868,       1754,       2405
    2,     16,      21356,      12235,       9121,   0.981253,          0,          0,          0,          0,          0,        643,          0,        581,          0,       1386,          0,       1513,          0,          0,          0,          0,          0,        561,          0,        620,          0,       1361,          0,       1355,          0,          0,          0,          0,        331,       1851,        714,       1043,        750,       4602,       1633,       2412
    2,     17,      21238,      12192,       9046,   0.994475,          0,          0,          0,          0,          0,        610,          0,        650,          0,       1421,          0,       1408,          0,          0,          0,          0,          0,        643,          0,        581,          0,       1386,          0,       1513,          0,          0,          0,          0,        333,       1867,        681,        993,        738,       4600,       1554,       2260
    2,     18,      22878,      13357,       9521,   1.077220,          0,          0,          0,          0,          0,        694,          0,        773,          0,       1706,          0,       1663,          0,          0,          0,          0,          0,        610,          0,        650,          0,       1421,          0,       1408,          0,          0,          0,          0,        421,       1982,        775,        954,        936,       4750,       1790,       2345
