"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11","Trait Index 12","Trait Index 13","Trait Index 14","Trait Index 15","Trait Index 16","Trait Index 17","Trait Index 18","Trait Index 19","Trait Index 20","Trait Index 21","Trait Index 22","Trait Index 23","Trait Index 24","Trait Index 25","Trait Index 26","Trait Index 27","Trait Index 28","Trait Index 29","Trait Index 30","Trait Index 31","Trait Index 32","Trait Index 33","Trait Index 34","Trait Index 35"
    2,      0,      10000,          0,      10000,   1.000000,       1682,          0,       1705,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1638,          0,       1586,          0,          0,          0,          0,          0,          0,          0,          0,          0,       1702,          0,       1687,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,      1,      10000,       7996,       2004,   1.000000,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,        234,         88,        141,         22,       1420,        582,        894,          0,          0,          0,          0,          4,        419,        136,        259,         53,       2864,       1113,       1765
    2,      2,       9629,       6468,       3161,   0.962900,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        127,          0,        103,          0,        473,          0,        465,          0,          0,          0,          0,        119,        515,        267,        265,        621,       3269,       2154,       1251
    2,      3,      11865,       8250,       3615,   1.232215,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        270,          0,        254,          0,       1156,          0,       1218,          0,          0,          0,          0,        171,        572,        234,        357,       1356,       2826,       1854,       1597
    2,      4,      14218,      10003,       4215,   1.198314,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        338,          0,        322,          0,       1404,          0,       1417,          0,          0,          0,          0,        274,        692,        290,        510,       1763,       3062,       1888,       2258
    2,      5,      16836,      11442,       5394,   1.184133,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        397,          0,        459,          0,       1586,          0,       1618,          0,          0,          0,          0,        410,        806,        427,        638,       2222,       3309,       2335,       2629
    2,      6,      18637,      12330,       6307,   1.106973,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        479,          0,        479,          0,       1581,          0,       1622,          0,          0,          0,          0,        490,        948,        612,        789,       2312,       3680,       2893,       2752
    2,      7,      20570,      12944,       7626,   1.103718,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        533,          0,        533,          0,       1771,          0,       1790,          0,          0,          0,          0,        657,       1069,        787,        893,       2819,       3610,       3363,       2745
    2,      8,      19532,      13288,       6244,   0.949538,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        483,          0,        458,          0,       1349,          0,       1381,          0,          0,          0,          0,        419,       1424,        900,        914,       1673,       4587,       3252,       2692
    2,      9,      21128,      13500,       7628,   1.081712,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        606,          0,        583,          0,       1692,          0,       1711,          0,          0,          0,          0,        752,       1362,       1009,        909,       2527,       4082,       3340,       2555
