"Run","Time Step","Population Size","Group Members","Floaters","Lambda","Trait Index  0","Trait Index  1","Trait Index  2","Trait Index  3","Trait Index  4","Trait Index  5","Trait Index  6","Trait Index  7","Trait Index  8","Trait Index  9","Trait Index 10","Trait Index 11"
    2,      0,      10000,          0,      10000,   1.000000,          0,      10000,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
    2,      1,       9629,       4477,       5152,   0.962900,       4466,       5151,         11,          1,          0,          0,          0,          0,          0,          0,          0,          0
    2,      2,      11865,       7139,       4726,   1.232215,       7105,       4724,         14,          0,         14,          8,          0,          0,          0,          0,          0,          0
    2,      3,      14218,       8602,       5616,   1.198314,       8576,       5612,         15,          0,         14,          1,          0,          0,          0,          0,          0,          0
    2,      4,      16836,      10173,       6663,   1.184133,      10134,       6650,         20,          0,         17,         13,          0,          0,          0,          0,          1,          1
    2,      5,      18637,      10994,       7643,   1.106973,      10936,       7636,         25,         10,         15,         15,          0,          0,          0,          0,          0,          0
    2,      6,      20570,      11829,       8741,   1.103718,      11768,       8731,         28,          1,         16,          8,          7,          9,          0,          0,          1,          1
    2,      7,      19532,      10937,       8595,   0.949538,      10866,       8582,         13,         14,         14,         13,         14,         16,          0,          0,          0,          0
    2,      8,      21128,      12316,       8812,   1.081712,      12212,       8791,         31,         27,         15,         24,          0,         12,          1,          6,          1,          8
    2,      9,      21842,      12360,       9482,   1.033794,      12236,       9462,         31,         29,         30,         14,         13,         13,          0,         12,          0,          2
    2,     10,      20734,      11687,       9047,   0.949272,      11574,       9025,         27,         15,         11,         13,         28,         12,          1,          0,         18,         10
    2,     11,      21365,      12336,       9029,   1.030433,      12195,       9010,         27,         13,         27,         23,         20,         13,          5,         12,         13,          7
    2,     12,      21751,      12457,       9294,   1.018067,      12284,       9267,         29,         16,         42,          1,         15,         26,         28,          3,         14,         26
    2,     13,      22780,      12990,       9790,   1.047308,      12802,       9756,         29,         37,         23,         14,         15,         27,         16,         31,          2,         28
    2,     14,      23599,      13182,      10417,   1.035953,      12971,      10373,         25,         29,         29,         16,         31,         27,          2,         31,         18,         47
    2,     15,      21764,      12010,       9754,   0.922242,      11822,       9711,         27,         13,         15,         38,         13,         22,         28,         16,         14,         45
    2,     16,      21356,      12235,       9121,   0.981253,      12053,       9088,         23,         15,         26,         39,          1,         30,         14,         15,         14,         38
    2,     17,      21238,      12192,       9046,   0.994475,      11989,       9009,         28,         36,         27,         18,         12,         38,         12,         24,         15,         30
    2,     18,      22878,      13357,       9521,   1.077220,      13115,       9465,         39,         29,         40,         26,         18,         32,         28,         33,         17,         36
    2,     19,      21640,      12115,       9525,   0.945887,      11909,       9476,         42,         24,         38,         26,          1,         26,         27,         18,         23,         30
    2,     20,      22226,      12784,       9442,   1.027079,      12561,       9415,         41,         25,         25,         17,         24,         28,         21,         28,         13,         28
    2,     21,      24096,      13784,      10312,   1.084136,      13592,      10257,         43,         24,         31,         31,         11,          3,         29,         18,         19,         38
    2,     22,      24032,      13024,      11008,   0.997344,      12816,      10954,         42,         33,         30,         19,         26,         29,         17,         15,         14,         37
    2,     23,      25060,      13690,      11370,   1.042776,      13477,      11317,         33,         31,         30,         16,         18,         17,         28,         18,         27,         48
    2,     24,      24897,      13272,      11625,   0.993496,      13085,      11571,         29,         28,         18,         28,         15,         27,         32,         14,         18,         32
    2,     25,      22325,      12130,      10195,   0.896694,      11938,      10144,         30,         20,         27,         25,         14,         26,         16,         26,         15,         44
    2,     26,      24301,      13889,      10412,   1.088511,      13668,      10363,         28,         24,         27,         17,         15,         31,         17,         32,         18,         61
    2,     27,      24172,      13173,      10999,   0.994692,      12947,      10954,         13,         39,         16,         40,         28,         13,         30,         29,         11,         52
    2,     28,      24564,      13463,      11101,   1.016217,      13222,      11053,         42,         15,         26,         38,         27,         27,         25,         13,         19,         57
    2,     29,      25199,      13673,      11526,   1.025851,      13421,      11483,         40,         39,         18,         31,         15,         40,         28,         30,         17,         37
    2,     30,      25511,      13645,      11866,   1.012381,      13429,      11807,         38,         23,         17,         35,         18,         19,         31,         42,         15,         37
