Run,Time.Step,Population.Size,Group.Members,Floaters,Lambda,Trait.Index..0,Trait.Index..1,Trait.Index..2,Trait.Index..3,Trait.Index..4,Trait.Index..5,Inside
2,0,150,0,150,1,150,0,0,0,0,0,0
2,1,2075,1226,849,13.833333,0,0,10,114,255,1696,124
2,2,2545,1808,737,1.226506,0,0,2,103,280,2160,105
2,3,3100,2264,836,1.218075,0,0,2,66,240,2792,68
2,4,3496,2286,1210,1.127742,0,0,2,56,324,3114,58
2,5,3383,2034,1349,0.967677,0,0,2,44,363,2974,46
2,6,3724,2449,1275,1.100798,0,0,2,36,404,3282,38
2,7,3528,2120,1408,0.947368,0,0,1,32,375,3120,33
2,8,3653,2300,1353,1.035431,0,0,1,18,380,3254,19
2,9,3868,2395,1473,1.058856,0,0,0,7,460,3401,7
2,10,3475,2002,1473,0.898397,0,0,0,9,431,3035,9
2,11,3670,2327,1343,1.056115,0,0,1,2,347,3320,3
2,12,3787,2330,1457,1.03188,0,0,0,1,411,3375,1
2,13,3708,2160,1548,0.979139,0,0,1,0,380,3327,1
2,14,3713,2239,1474,1.001348,0,0,0,0,383,3330,0
2,15,3501,2084,1417,0.942903,0,0,0,0,292,3209,0
2,16,3451,2156,1295,0.985718,0,0,0,0,234,3217,0
2,17,3463,2209,1254,1.003477,0,0,0,0,217,3246,0
2,18,3314,2037,1277,0.956974,0,0,0,0,187,3127,0
2,19,3462,2290,1172,1.044659,0,0,0,0,181,3281,0
2,20,2423,1483,940,0.699884,0,0,0,0,121,2302,0
2,21,0,0,0,0,0,0,0,0,0,0,0
